x,series_01,series_02,series_03,series_04,series_05,series_06,series_07,series_08,series_09,series_10,series_11,series_12
0,0.0,0.4,1.0,1.5,1.9,2.4,3.0,3.5,4.0,4.5,5.0,5.5
1,0.6,1.2,1.6,2.1,2.6,3.1,3.6,4.1,4.6,5.1,5.7,6.1
2,1.2,1.7,2.2,2.7,3.2,3.7,4.3,4.7,5.2,5.7,6.2,6.8
3,1.8,2.3,2.8,3.3,3.8,4.3,4.8,5.3,5.8,6.3,6.8,7.3
4,2.4,2.9,3.4,3.9,4.3,4.9,5.4,5.9,6.4,7.0,7.4,7.9
5,2.9,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,7.9,8.4
6,3.6,4.1,4.6,5.1,5.6,6.1,6.6,7.1,7.6,8.1,8.6,9.1
7,4.1,4.7,5.2,5.7,6.2,6.7,7.2,7.7,8.2,8.7,9.1,9.6
8,4.7,5.3,5.8,6.3,6.8,7.4,7.8,8.3,8.8,9.3,9.8,10.3
9,5.4,5.8,6.4,6.9,7.4,7.8,8.4,8.9,9.4,9.9,10.5,10.9
10,5.9,6.5,7.0,7.6,8.0,8.5,9.1,9.4,10.0,10.5,11.0,11.4
