sample_class_id,term_id,key_name,ja,en
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,3250c45d-0ed6-1438-43b5-eb679918604a,sample.specific.organic.chemical-formula,有機材料/化学式,organic material/Chemical formula
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,70c2c751-5404-19b7-4a5e-981e6cebbb15,sample.specific.organic.name,有機材料/名称,organic material/Name
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,e2d20d02-2e38-2cd3-b1b3-66fdb8a11057,sample.specific.organic.cas-number,有機材料/CAS番号,organic material/CAS Number
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,518e26a0-4262-86f5-3598-80e18e6ff2af,sample.specific.organic.pubchem,有機材料/PubChem,organic material/PubChem
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,3a775d54-5c13-fe66-6405-29c05bc931ce,sample.specific.organic.viscosity,有機材料/粘度,organic material/viscosity
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,659da80e-c2ee-2986-41ce-68201b3bc4dd,sample.specific.organic.boiling-point,有機材料/沸点,organic material/boiling point
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,4efc4c3b-727c-c752-cf28-701b55dba1af,sample.specific.organic.melting-temperature,有機材料/融点,organic material/Melting temperature
932e4fe1-9724-305f-ffc5-1908c31c83e5,70c2c751-5404-19b7-4a5e-981e6cebbb15,sample.specific.inorganic.name,無機材料/名称,inorganic material/Name
932e4fe1-9724-305f-ffc5-1908c31c83e5,3250c45d-0ed6-1438-43b5-eb679918604a,sample.specific.inorganic.chemical-formula,無機材料/化学式,inorganic material/Chemical formula
932e4fe1-9724-305f-ffc5-1908c31c83e5,f63149a4-e57c-4273-4c1e-dffa41356d28,sample.specific.inorganic.space-group,無機材料/空間群,inorganic material/Space group
a674a8ef-efa8-9497-4ed4-74de55fafddb,3250c45d-0ed6-1438-43b5-eb679918604a,sample.specific.metals.chemical-formula,金属・合金/化学式,metals and alloys/Chemical formula
a674a8ef-efa8-9497-4ed4-74de55fafddb,70c2c751-5404-19b7-4a5e-981e6cebbb15,sample.specific.metals.name,金属・合金/名称,metals and alloys/Name
a674a8ef-efa8-9497-4ed4-74de55fafddb,e2d20d02-2e38-2cd3-b1b3-66fdb8a11057,sample.specific.metals.cas-number,金属・合金/CAS番号,metals and alloys/CAS Number
a674a8ef-efa8-9497-4ed4-74de55fafddb,f63149a4-e57c-4273-4c1e-dffa41356d28,sample.specific.metals.space-group,金属・合金/空間群,metals and alloys/Space group
a674a8ef-efa8-9497-4ed4-74de55fafddb,efcf34e7-4308-c195-6691-6f4d28ffc9bb,sample.specific.metals.crystal-structure,金属・合金/結晶構造,metals and alloys/Crystal structure
a674a8ef-efa8-9497-4ed4-74de55fafddb,659da80e-c2ee-2986-41ce-68201b3bc4dd,sample.specific.metals.boiling-point,金属・合金/沸点,metals and alloys/boiling point
a674a8ef-efa8-9497-4ed4-74de55fafddb,4efc4c3b-727c-c752-cf28-701b55dba1af,sample.specific.metals.melting-temperature,金属・合金/融点,metals and alloys/Melting temperature
